date,open,high,low,close,volume,average,barCount
2020-01-10 15:59:00,95.71,95.74,95.58,95.59,5078,95.6784,682
2020-01-10 15:58:00,95.7,95.71,95.65,95.7,2815,95.6866,426
2020-01-10 15:57:00,95.57,95.71,95.57,95.7,2305,95.6568,320
2020-01-10 15:56:00,95.63,95.68,95.54,95.57,2897,95.6114,395
2020-01-10 15:55:00,95.56,95.67,95.52,95.64,2811,95.6064,376
2020-01-10 15:54:00,95.42,95.56,95.42,95.54,2238,95.4738,278
2020-01-10 15:53:00,95.39,95.49,95.36,95.42,1729,95.4184,220
2020-01-10 15:52:00,95.39,95.43,95.29,95.39,1651,95.3668,251
2020-01-10 15:51:00,95.36,95.43,95.32,95.39,1697,95.3864,210
2020-01-10 15:50:00,95.27,95.37,95.24,95.34,1022,95.3082,128
2020-01-10 15:49:00,95.28,95.31,95.23,95.24,459,95.2812,62
2020-01-10 15:48:00,95.34,95.34,95.27,95.29,1055,95.3166,105
2020-01-10 15:47:00,95.35,95.37,95.27,95.35,782,95.3404,95
2020-01-10 15:46:00,95.21,95.37,95.18,95.35,1580,95.309,175
2020-01-10 15:45:00,95.24,95.25,95.18,95.2,628,95.2126,86
2020-01-10 15:44:00,95.15,95.25,95.09,95.21,1610,95.175,207
2020-01-10 15:43:00,95.01,95.2,95.01,95.16,1534,95.1088,207
2020-01-10 15:42:00,95.11,95.12,94.96,95.01,1536,95.0192,193
2020-01-10 15:41:00,95.14,95.14,95.09,95.11,649,95.12,86
2020-01-10 15:40:00,95.12,95.15,95.04,95.13,1147,95.1058,164
2020-01-10 15:39:00,95.11,95.16,95.09,95.12,1267,95.1216,175
2020-01-10 15:38:00,95.07,95.14,95.05,95.12,669,95.0986,94
2020-01-10 15:37:00,95.12,95.14,95.04,95.08,717,95.07600000000001,84
2020-01-10 15:36:00,95.17,95.17,95.04,95.12,598,95.113,100
2020-01-10 15:35:00,95.07,95.2,95.02,95.15,1135,95.1156,143
2020-01-10 15:34:00,95.14,95.14,95.07,95.1,1156,95.1116,106
2020-01-10 15:33:00,95.28,95.3,95.11,95.13,1087,95.162,124
2020-01-10 15:32:00,95.25,95.32,95.21,95.29,394,95.2498,48
2020-01-10 15:31:00,95.34,95.34,95.18,95.26,1014,95.2548,133
2020-01-10 15:30:00,95.39,95.39,95.29,95.36,766,95.352,97
2020-01-10 15:29:00,95.45,95.45,95.37,95.37,570,95.4242,79
2020-01-10 15:28:00,95.33,95.45,95.31,95.44,1253,95.3994,147
2020-01-10 15:27:00,95.33,95.37,95.25,95.32,879,95.3092,100
2020-01-10 15:26:00,95.23,95.35,95.19,95.34,760,95.2742,92
2020-01-10 15:25:00,95.17,95.28,95.17,95.25,690,95.2392,82
2020-01-10 15:24:00,95.2,95.23,95.14,95.19,591,95.1924,72
2020-01-10 15:23:00,95.15,95.23,95.14,95.2,519,95.1978,73
2020-01-10 15:22:00,95.13,95.17,95.06,95.13,447,95.1212,68
2020-01-10 15:21:00,95.24,95.28,95.1,95.12,766,95.2112,115
2020-01-10 15:20:00,95.12,95.24,95.08,95.22,1413,95.1536,124
2020-01-10 15:19:00,95.13,95.15,94.96,95.06,1849,95.0294,205
2020-01-10 15:18:00,95.11,95.12,95.02,95.09,1251,95.069,169
2020-01-10 15:17:00,95.16,95.16,95.06,95.11,1383,95.1006,150
2020-01-10 15:16:00,95.13,95.24,95.1,95.15,1449,95.1482,201
