date,open,high,low,close,volume,average,barCount
2021-06-21 15:59:00,621.3,621.31,620.6,620.83,1254,620.97,480
2021-06-21 15:58:00,621.4,621.48,621.0,621.25,381,621.247,236
2021-06-21 15:57:00,621.14,621.5,620.96,621.45,557,621.2819999999999,268
2021-06-21 15:56:00,620.83,621.44,620.65,621.07,356,621.056,207
2021-06-21 15:55:00,621.75,621.75,620.75,620.98,265,621.164,144
2021-06-21 15:54:00,620.64,621.55,620.43,621.55,321,620.903,199
2021-06-21 15:53:00,620.6,620.82,620.08,620.57,461,620.46,260
2021-06-21 15:52:00,621.41,621.41,620.27,620.5,550,620.689,274
2021-06-21 15:51:00,621.76,621.91,621.4,621.4,169,621.597,109
2021-06-21 15:50:00,621.44,622.02,621.39,621.55,368,621.71,235
2021-06-21 15:49:00,621.21,621.75,621.13,621.25,271,621.477,186
2021-06-21 15:48:00,621.61,621.61,620.91,621.34,227,621.227,140
2021-06-21 15:47:00,620.61,621.95,620.59,621.48,349,621.2,156
2021-06-21 15:46:00,621.31,621.46,620.59,620.75,274,621.065,172
2021-06-21 15:45:00,621.47,621.58,620.54,621.39,580,620.936,273
2021-06-21 15:44:00,621.15,621.7,621.1,621.5,345,621.35,124
2021-06-21 15:43:00,622.4,622.42,621.07,621.14,423,621.5269999999999,251
2021-06-21 15:42:00,622.67,622.96,622.43,622.48,123,622.716,57
2021-06-21 15:41:00,622.14,622.57,621.94,622.57,113,622.238,57
2021-06-21 15:40:00,622.75,622.83,622.01,622.11,232,622.4259999999999,104
2021-06-21 15:39:00,622.44,622.75,622.23,622.75,89,622.456,53
2021-06-21 15:38:00,622.02,622.83,622.01,622.44,193,622.48,86
2021-06-21 15:37:00,622.45,622.62,621.86,621.86,321,622.263,159
2021-06-21 15:36:00,622.83,622.92,622.39,622.51,181,622.554,94
2021-06-21 15:35:00,622.93,623.32,622.65,622.95,215,622.932,81
2021-06-21 15:34:00,622.7,623.37,622.59,622.86,298,623.09,163
2021-06-21 15:33:00,622.61,622.88,622.4,622.57,145,622.604,79
2021-06-21 15:32:00,622.93,623.05,622.5,622.69,216,622.711,96
2021-06-21 15:31:00,622.33,623.02,622.21,622.98,298,622.753,111
2021-06-21 15:30:00,622.91,622.91,622.17,622.4,180,622.592,95
2021-06-21 15:29:00,622.17,623.18,622.17,623.0,616,622.7909999999999,245
2021-06-21 15:28:00,622.06,622.4,621.76,622.11,337,622.073,158
2021-06-21 15:27:00,621.14,622.37,621.08,622.01,455,621.737,210
2021-06-21 15:26:00,621.72,621.85,620.1,621.18,939,620.852,527
2021-06-21 15:25:00,621.88,622.26,621.61,621.98,444,621.985,198
2021-06-21 15:24:00,621.98,622.32,621.3,621.8,591,621.842,223
2021-06-21 15:23:00,622.81,623.19,621.56,621.83,1031,622.023,473
2021-06-21 15:22:00,622.96,623.61,622.81,622.94,398,623.134,148
2021-06-21 15:21:00,623.17,623.39,622.23,622.9,550,622.819,239
2021-06-21 15:20:00,623.93,624.25,622.85,623.21,612,623.5840000000001,291
2021-06-21 15:19:00,624.48,624.65,623.7,623.79,322,624.187,135
2021-06-21 15:18:00,623.85,624.58,623.79,624.47,362,624.2669999999999,137
2021-06-21 15:17:00,624.33,624.36,623.73,624.07,636,624.019,256
2021-06-21 15:16:00,624.48,624.88,624.3,624.42,384,624.575,142
2021-06-21 15:15:00,625.37,625.42,624.3,624.52,683,624.727,376
2021-06-21 15:14:00,625.33,625.95,625.3,625.33,313,625.668,135
2021-06-21 15:13:00,625.51,625.68,625.0,625.32,333,625.345,163
2021-06-21 15:12:00,625.95,626.22,625.4,625.51,275,625.736,123
2021-06-21 15:11:00,625.9,626.3,625.71,625.88,325,625.997,154
2021-06-21 15:10:00,626.97,626.97,625.68,626.0,564,626.195,280
2021-06-21 15:09:00,627.03,627.1,626.61,626.98,221,626.882,103
2021-06-21 15:08:00,627.51,627.51,626.54,627.11,390,627.114,216
2021-06-21 15:07:00,628.18,628.5,627.5,627.5,270,628.146,128
2021-06-21 15:06:00,628.34,628.4,627.51,628.19,334,627.811,138
2021-06-21 15:05:00,627.92,628.44,627.9,628.26,168,628.159,101
2021-06-21 15:04:00,627.98,628.36,627.82,628.14,235,628.09,94
2021-06-21 15:03:00,627.79,628.88,627.79,627.92,400,628.335,185
2021-06-21 15:02:00,627.98,628.49,627.3,627.74,490,628.039,204
2021-06-21 15:01:00,628.95,628.99,627.67,627.91,592,628.146,296
2021-06-21 15:00:00,628.25,629.72,627.45,628.83,1364,628.688,658
2021-06-21 14:59:00,625.77,629.0,625.07,628.24,1985,627.63,1114
2021-06-21 14:58:00,626.07,626.37,625.63,625.65,338,626.082,120
2021-06-21 14:57:00,625.96,626.35,625.66,626.11,198,625.986,84
2021-06-21 14:56:00,625.83,626.37,625.76,625.83,198,626.071,109
2021-06-21 14:55:00,626.0,626.17,625.82,625.82,139,625.965,62
2021-06-21 14:54:00,626.31,626.43,625.88,626.03,184,626.159,92
2021-06-21 14:53:00,625.87,626.27,625.85,626.23,185,626.0419999999999,112
2021-06-21 14:52:00,625.86,626.15,625.32,626.08,479,625.779,179
2021-06-21 14:51:00,625.79,625.88,625.35,625.82,169,625.5419999999999,71
2021-06-21 14:50:00,625.35,625.76,625.22,625.7,297,625.544,100
2021-06-21 14:49:00,625.54,625.74,625.2,625.29,204,625.418,98
2021-06-21 14:48:00,625.83,625.83,625.22,625.49,331,625.43,169
2021-06-21 14:47:00,626.24,626.75,625.63,625.85,501,626.087,243
2021-06-21 14:46:00,626.34,626.63,626.11,626.31,267,626.405,126
2021-06-21 14:45:00,627.01,627.21,626.31,626.39,294,626.696,150
2021-06-21 14:44:00,627.24,627.45,626.76,627.13,157,627.135,83
2021-06-21 14:43:00,626.9,627.29,626.53,627.03,166,626.915,82
2021-06-21 14:42:00,627.25,627.34,626.43,627.03,342,626.8380000000001,115
2021-06-21 14:41:00,626.69,627.79,626.69,627.46,343,627.325,146
2021-06-21 14:40:00,626.92,627.05,626.39,626.62,374,626.74,215
2021-06-21 14:39:00,627.62,627.7,626.84,626.85,630,627.236,360
2021-06-21 14:38:00,627.87,628.36,627.64,627.64,339,628.0169999999999,169
2021-06-21 14:37:00,629.02,629.12,627.76,627.76,409,628.342,188
2021-06-21 14:36:00,629.95,630.03,628.75,628.97,288,629.248,150
2021-06-21 14:35:00,629.71,630.15,629.7,630.0,299,629.9830000000001,163
2021-06-21 14:34:00,629.5,629.86,629.37,629.68,75,629.61,51
2021-06-21 14:33:00,629.29,629.71,629.1,629.56,141,629.374,89
2021-06-21 14:32:00,629.32,629.53,628.73,629.29,165,629.138,99
2021-06-21 14:31:00,629.76,629.86,629.11,629.27,125,629.382,71
2021-06-21 14:30:00,629.68,630.0,629.63,629.68,172,629.779,64
2021-06-21 14:29:00,629.33,630.0,629.26,629.69,282,629.8,144
2021-06-21 14:28:00,629.09,629.34,628.7,629.33,94,628.884,63
2021-06-21 14:27:00,629.08,629.26,628.96,629.16,146,629.109,71
2021-06-21 14:26:00,629.09,629.29,628.77,629.09,196,628.962,70
2021-06-21 14:25:00,629.07,629.84,628.98,629.02,257,629.396,92
2021-06-21 14:24:00,628.7,629.44,628.57,629.22,172,629.126,77
2021-06-21 14:23:00,629.0,629.2,628.7,628.75,142,628.842,63
2021-06-21 14:22:00,629.02,629.17,628.8,628.89,138,628.952,48
2021-06-21 14:21:00,629.6,630.21,629.04,629.22,460,629.7,185
2021-06-21 14:20:00,628.92,629.48,628.63,629.48,130,628.933,76
2021-06-21 14:19:00,629.21,629.31,628.75,629.06,132,629.08,75
2021-06-21 14:18:00,628.79,629.21,628.76,629.1,228,628.9590000000001,70
2021-06-21 14:17:00,629.1,629.34,628.57,628.99,195,628.947,118
2021-06-21 14:16:00,629.31,630.0,629.0,629.08,425,629.601,177
2021-06-21 14:15:00,629.14,629.5,629.0,629.41,185,629.307,104
2021-06-21 14:14:00,628.76,629.24,628.6,629.22,343,628.854,166
2021-06-21 14:13:00,629.88,629.88,628.69,628.94,309,629.1759999999999,165
2021-06-21 14:12:00,630.03,630.72,629.68,629.76,420,630.34,156
2021-06-21 14:11:00,629.69,630.31,629.35,630.11,377,629.819,170
