date,open,high,low,close,volume,average,barCount
2011-03-03 15:59:00,4.87,4.87,4.87,4.87,345,4.8692,47
2011-03-03 15:58:00,4.87,4.87,4.86,4.87,505,4.865,60
2011-03-03 15:57:00,4.87,4.87,4.87,4.87,95,4.867,16
2011-03-03 15:56:00,4.86,4.87,4.86,4.87,120,4.8648,19
2011-03-03 15:55:00,4.86,4.86,4.86,4.86,100,4.8626,19
2011-03-03 15:54:00,4.86,4.87,4.86,4.87,85,4.8646,15
2011-03-03 15:53:00,4.86,4.87,4.86,4.86,150,4.865,13
2011-03-03 15:52:00,4.86,4.86,4.86,4.86,10,4.864,2
2011-03-03 15:51:00,4.86,4.87,4.86,4.86,255,4.8638,44
2011-03-03 15:50:00,4.86,4.86,4.86,4.86,140,4.8626,20
2011-03-03 15:49:00,4.86,4.86,4.86,4.86,85,4.8628,16
2011-03-03 15:48:00,4.86,4.87,4.86,4.86,180,4.8624,23
2011-03-03 15:47:00,4.87,4.87,4.86,4.86,185,4.8606,18
2011-03-03 15:46:00,4.86,4.87,4.86,4.86,140,4.8644,10
2011-03-03 15:45:00,4.86,4.87,4.86,4.87,90,4.8644,9
2011-03-03 15:44:00,4.87,4.87,4.86,4.86,60,4.8658,12
2011-03-03 15:43:00,4.86,4.87,4.86,4.86,60,4.8656,11
2011-03-03 15:42:00,4.86,4.86,4.86,4.86,125,4.8616,25
2011-03-03 15:41:00,4.86,4.86,4.86,4.86,65,4.8594,12
2011-03-03 15:40:00,4.86,4.86,4.86,4.86,270,4.8564,27
2011-03-03 15:39:00,4.85,4.86,4.85,4.86,120,4.8548,15
2011-03-03 15:38:00,4.85,4.86,4.85,4.86,80,4.8552,16
2011-03-03 15:37:00,4.86,4.86,4.85,4.85,225,4.8548,14
2011-03-03 15:36:00,4.85,4.86,4.85,4.86,100,4.856,14
2011-03-03 15:35:00,4.86,4.86,4.85,4.86,75,4.8558,12
2011-03-03 15:34:00,4.85,4.86,4.85,4.85,150,4.8546,25
2011-03-03 15:33:00,4.85,4.86,4.85,4.86,425,4.8538,31
