date,open,high,low,close,volume,average,barCount
2011-07-11 15:59:00,5.66,5.67,5.66,5.66,505,5.6658,74
2011-07-11 15:58:00,5.68,5.68,5.66,5.66,255,5.672000000000001,50
2011-07-11 15:57:00,5.67,5.67,5.67,5.67,420,5.6736,76
2011-07-11 15:56:00,5.67,5.67,5.67,5.67,265,5.67,49
2011-07-11 15:55:00,5.67,5.68,5.66,5.67,525,5.672000000000001,89
2011-07-11 15:54:00,5.66,5.67,5.65,5.67,255,5.6588,45
2011-07-11 15:53:00,5.66,5.66,5.66,5.66,215,5.66,36
2011-07-11 15:52:00,5.66,5.66,5.66,5.66,155,5.6582,28
2011-07-11 15:51:00,5.65,5.66,5.65,5.65,400,5.6538,68
2011-07-11 15:50:00,5.64,5.65,5.64,5.65,355,5.6438,67
2011-07-11 15:49:00,5.63,5.64,5.63,5.64,210,5.6354,32
2011-07-11 15:48:00,5.64,5.64,5.63,5.63,120,5.636,24
2011-07-11 15:47:00,5.63,5.64,5.63,5.64,95,5.6358,15
2011-07-11 15:46:00,5.64,5.64,5.64,5.64,105,5.6378,21
2011-07-11 15:45:00,5.63,5.64,5.63,5.64,80,5.6366,16
2011-07-11 15:44:00,5.63,5.64,5.63,5.63,220,5.6356,34
2011-07-11 15:43:00,5.63,5.63,5.63,5.63,270,5.6304,46
2011-07-11 15:42:00,5.63,5.64,5.63,5.63,225,5.6332,27
2011-07-11 15:41:00,5.64,5.64,5.63,5.63,190,5.6372,35
2011-07-11 15:40:00,5.64,5.64,5.64,5.64,25,5.6392,5
2011-07-11 15:39:00,5.64,5.64,5.63,5.64,85,5.638,15
2011-07-11 15:38:00,5.64,5.64,5.63,5.64,90,5.6334,16
2011-07-11 15:37:00,5.64,5.64,5.63,5.64,80,5.6342,14
2011-07-11 15:36:00,5.63,5.64,5.63,5.64,100,5.6352,20
2011-07-11 15:35:00,5.64,5.64,5.63,5.64,35,5.6339999999999995,7
2011-07-11 15:34:00,5.64,5.64,5.63,5.63,70,5.6384,14
